created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 18:01:41 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",h,0.0,0.0,en,0,,PuneUpdater,88,0,,,,
Fri Jun 18 18:01:41 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",e,0.0,0.0,en,0,,PuneUpdater,88,0,,,,
Fri Jun 18 18:01:41 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",a,0.0,0.0,en,0,,PuneUpdater,88,0,,,,
Fri Jun 18 18:01:41 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",d,0.0,0.0,en,0,,PuneUpdater,88,0,,,,
Fri Jun 18 18:02:19 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", ,0.0,0.0,en,5,1.0,rabiiik527,468,381,,,,
Fri Jun 18 18:02:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",o,0.0,0.0,en,0,,HealthZA,304613,1373,False,,,South Africa
Fri Jun 18 18:02:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",f,0.0,0.0,en,49,19.0,MrGeepGeep,267,357,,,,Purgatory
Fri Jun 18 18:02:26 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", ,0.0,0.0,en,264,239.0,carissa_moore,125,207,,,,
Fri Jun 18 18:02:26 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@,0.0,0.0,en,39,6.0,SandyHi2244,350,612,False,,,
Fri Jun 18 18:02:26 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",W,0.0,0.0,en,693,223.0,ReadingCEP,167,758,,,,"Fresno, CA"
Fri Jun 18 18:02:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",H,0.0,0.0,en,9,11.0,cfx82073592,401,2200,,,,Time Lord
Fri Jun 18 18:02:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",O,0.0,0.0,en,6,6.0,herohatta,129,2220,,,,
Fri Jun 18 18:02:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A,0.0,0.0,en,1,1.0,LeanneWilkinsSA,28,102,,,,
Fri Jun 18 18:02:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",F,0.0,0.0,en,179,36.0,ElXe_GaX7,252,235,,,,Canada 🇨🇦- Xenaverse - 
Fri Jun 18 18:02:43 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",R,0.0,0.0,en,0,,joannachiu,48404,10696,False,,,"Vancouver, British Columbia"
Fri Jun 18 18:02:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",O,0.0,0.0,en,0,,MajDowney,38,93,False,,,
Fri Jun 18 18:02:48 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>", ,0.0,0.0,en,352,97.0,LoisRobb1,1151,1140,,,,"Calgary, Alberta Canada"
Fri Jun 18 18:02:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",h,0.0,0.0,en,0,,myamphealth,371,193,False,,,"London, England"
Fri Jun 18 18:02:53 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a,0.0,0.0,en,859,487.0,ohhDee__,621,723,,,,"Miami, FL"
Fri Jun 18 18:02:54 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",s,0.0,0.0,en,264,240.0,demikode99,118,420,,,,
Fri Jun 18 18:02:57 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>", ,0.0,0.0,en,219,98.0,FSzesnat,256,564,,,,Suffolk
Fri Jun 18 18:03:05 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",w,0.0,0.0,en,694,224.0,Bonnie_bear4,64,406,,,,"Salt Lake City, UT"
Fri Jun 18 18:03:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a,0.0,0.0,en,70,49.0,Anuradh19217430,559,772,,,,India
Fri Jun 18 18:03:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",r,0.0,0.0,en,0,1.0,ConservativeMo3,261,708,,,,"Indianapolis, IN"
Fri Jun 18 18:03:25 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",n,0.0,0.0,en,12,8.0,tizzywoman,42704,26651,,,,Geeks Persist Headquarters 
Fri Jun 18 18:03:25 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",e,0.0,0.0,en,390,21.0,Alreidy,2949,1339,,,,"Seattle, WA"
Fri Jun 18 18:03:27 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",d,0.0,0.0,en,27,27.0,pjotrowicz,6353,2978,,,,Jestem nomadą
Fri Jun 18 18:03:33 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","
",0.0,0.0,en,9,12.0,Dima__Abisaab,128,172,,,,"New York, NY"
Fri Jun 18 18:03:34 +0000 2021,"<a href=""http://www.tweetings.net"" rel=""nofollow"">Tweetings for Android</a>","
",0.0,0.0,en,13,10.0,deancorda,354,854,,,,
Fri Jun 18 18:03:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",C,0.0,0.0,en,33,17.0,harshpatel510,4587,778,False,,,India
Fri Jun 18 18:03:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a,0.0,0.0,en,0,1.0,RUOKAnny,4532,1639,,,,"London, England"
Fri Jun 18 18:03:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",s,0.0,0.0,en,4,2.0,ZamaniSteven,5,33,,,,
Fri Jun 18 18:03:47 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",e,0.0,0.0,en,49,20.0,chef_mayers,249,1242,,,,Trinidad and Tobago
Fri Jun 18 18:03:50 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",s,0.0,0.0,en,0,,DrAnneEllis,7013,1521,False,,,"Kingston, ON"
Fri Jun 18 18:03:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", ,0.0,0.0,en,4,3.0,queen_tumi123,85,207,,,,South Africa
Fri Jun 18 18:03:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",h,0.0,0.0,en,0,,lodge_cat,30,208,,,,30+ // Germany
Fri Jun 18 18:03:57 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",a,0.0,0.0,en,540,350.0,kATEledwidge,1100,924,,,,
Fri Jun 18 18:04:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",v,0.0,0.0,en,4,4.0,SikwanaAyabonga,184,1110,,,,"Cape Town, South Africa"
Fri Jun 18 18:04:03 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",e,0.0,0.0,en,0,,itranslate123,9174,732,False,,,
Fri Jun 18 18:04:11 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>", ,0.0,0.0,en,5,4.0,SRiverdaleCHC,4324,2141,,,,"Toronto, Ontario, Canada"
Fri Jun 18 18:04:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",r,0.0,0.0,en,13,9.0,SixPersistsBlue,23424,7712,,,,GeeksResist Headquarters
Fri Jun 18 18:04:21 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",i,0.0,0.0,en,0,1.0,itranslate123,9174,732,,,,
Fri Jun 18 18:04:23 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",s,0.0,0.0,en,0,,chef_mayers,249,1242,,,,Trinidad and Tobago
Fri Jun 18 18:04:24 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",e,0.0,0.0,en,0,2.0,barry_causer,372,1073,,,,"London, England"
Fri Jun 18 18:04:27 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",n,0.0,0.0,en,59,31.0,rlchamizo,136,851,,,,
Fri Jun 18 18:04:28 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>", ,0.0,0.0,en,1792,130.0,cathyby,4264,1994,,,,Ireland
Fri Jun 18 18:04:28 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a,0.0,0.0,en,1,2.0,aaronscataIina,1226,1164,,,,"algiers, alg ➡️ cali, USA"
